model	subset	n_val	n_test	n_full	gt_in_prompt	correct_step@1_val	correct_step@1_test	correct_step@1_full	correct_agent@1_val	correct_agent@1_test	correct_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
gpt-4o	arc	61.0	152.0	304.0	1.0	0.7049180327868853	0.7017543859649124	0.7171052631578947	0.9016393442622951	0.8728070175438596	0.8717105263157895	0.7017543859649124	0.8728070175438596	0.7171052631578947	0.8717105263157895
gpt-4o	gaia	10.0	25.0	50.0	1.0	0.3	0.18666666666666668	0.22	0.7666666666666666	0.6266666666666667	0.6999999999999998	0.18666666666666668	0.6266666666666667	0.22	0.6999999999999998
gpt-4o	hotpot	116.0	289.0	578.0	1.0	0.1810344827586207	0.16724336793540948	0.18166089965397925	0.7672413793103449	0.7762399077277969	0.768166089965398	0.16724336793540948	0.7762399077277969	0.18166089965397925	0.768166089965398
gpt-4o	math500	32.0	79.0	157.0	1.0	0.4375	0.5063291139240507	0.464968152866242	0.625	0.620253164556962	0.6114649681528662	0.5063291139240507	0.620253164556962	0.464968152866242	0.6114649681528662
gpt-4o	mmlu_pro	19.0	46.0	92.0	1.0	0.6491228070175438	0.5942028985507246	0.6086956521739131	0.8070175438596491	0.8768115942028984	0.8478260869565218	0.5942028985507246	0.8768115942028984	0.6086956521739131	0.8478260869565218
gpt-4o	musique	63.0	156.0	312.0	1.0	0.10052910052910052	0.1282051282051282	0.12179487179487179	0.8095238095238094	0.7799145299145298	0.7788461538461539	0.1282051282051282	0.7799145299145298	0.12179487179487179	0.7788461538461539
gpt-4o	wikimqa	147.0	367.0	733.0	1.0	0.14739229024943312	0.15622161671207993	0.1446111869031378	0.7664399092970521	0.7502270663033607	0.7557980900409277	0.15622161671207993	0.7502270663033607	0.1446111869031378	0.7557980900409277
gpt-5	arc	61.0	152.0	304.0	1.0	0.4098360655737705	0.44078947368421056	0.4473684210526316	0.9125683060109289	0.9013157894736842	0.8980263157894738	0.44078947368421056	0.9013157894736842	0.4473684210526316	0.8980263157894738
gpt-5	gaia	10.0	25.0	50.0	1.0	0.20000000000000004	0.25333333333333335	0.26	0.6666666666666666	0.6266666666666667	0.64	0.25333333333333335	0.6266666666666667	0.26	0.64
gpt-5	hotpot	116.0	289.0	578.0	1.0	0.3764367816091954	0.3690888119953864	0.3719723183391003	0.8333333333333334	0.7946943483275662	0.7923875432525952	0.3690888119953864	0.7946943483275662	0.3719723183391003	0.7923875432525952
gpt-5	math500	32.0	79.0	157.0	1.0	0.3333333333333333	0.38396624472573837	0.3503184713375796	0.6770833333333334	0.6919831223628692	0.6751592356687898	0.38396624472573837	0.6919831223628692	0.3503184713375796	0.6751592356687898
gpt-5	mmlu_pro	19.0	46.0	92.0	1.0	0.40350877192982454	0.45652173913043476	0.43478260869565216	0.8070175438596491	0.8985507246376812	0.8586956521739131	0.45652173913043476	0.8985507246376812	0.43478260869565216	0.8586956521739131
gpt-5	musique	63.0	156.0	312.0	1.0	0.41798941798941797	0.32905982905982906	0.358974358974359	0.873015873015873	0.8354700854700855	0.842948717948718	0.32905982905982906	0.8354700854700855	0.358974358974359	0.842948717948718
gpt-5	wikimqa	147.0	367.0	733.0	1.0	0.3560090702947846	0.37057220708446864	0.36016371077762627	0.8095238095238096	0.821071752951862	0.8117326057298774	0.37057220708446864	0.821071752951862	0.36016371077762627	0.8117326057298774
